# x phi
-108.8000000000000 -0.0000001114729
-107.5200000000000 -0.0000001272653
-107.5200000000000 -0.0000001272653
-106.2400000000000 -0.0000001444312
-104.9600000000000 -0.0000001665483
-104.9600000000000 -0.0000001665483
-103.6800000000000 -0.0000001991331
-102.4000000000000 -0.0000002397579
-102.4000000000000 -0.0000002397579
-101.1200000000000 -0.0000002830229
-99.8400000000000 -0.0000003311119
-99.8400000000000 -0.0000003311119
-98.5600000000000 -0.0000003852163
-97.2800000000000 -0.0000004428433
-97.2800000000000 -0.0000004428433
-96.0000000000000 -0.0000005098214
-94.7200000000000 -0.0000005910767
-94.7200000000000 -0.0000005910767
-93.4400000000000 -0.0000006816890
-92.1600000000000 -0.0000007853603
-92.1600000000000 -0.0000007853603
-90.8800000000000 -0.0000009079744
-89.6000000000000 -0.0000010464239
-89.6000000000000 -0.0000010464239
-88.3200000000000 -0.0000012084276
-87.0400000000000 -0.0000014001513
-87.0400000000000 -0.0000014001513
-85.7600000000000 -0.0000016187196
-84.4800000000000 -0.0000018733466
-84.4800000000000 -0.0000018733466
-83.2000000000000 -0.0000021681931
-81.9200000000000 -0.0000025088979
-81.9200000000000 -0.0000025088979
-80.6400000000000 -0.0000029082196
-79.3600000000000 -0.0000033688326
-79.3600000000000 -0.0000033688326
-78.0800000000000 -0.0000039016041
-76.8000000000000 -0.0000045205408
-76.8000000000000 -0.0000045205408
-75.5200000000000 -0.0000052418906
-74.2400000000000 -0.0000060798339
-74.2400000000000 -0.0000060798339
-72.9600000000000 -0.0000070422913
-71.6800000000000 -0.0000081897367
-71.6800000000000 -0.0000081897367
-70.4000000000000 -0.0000095398034
-69.1200000000000 -0.0000110118704
-69.1200000000000 -0.0000110118704
-67.8400000000000 -0.0000127219130
-66.5600000000000 -0.0000149442593
-66.5600000000000 -0.0000149442593
-65.2800000000000 -0.0000174525517
-64.0000000000000 -0.0000200796767
-64.0000000000000 -0.0000200796767
-62.7200000000000 -0.0000233437020
-61.4400000000000 -0.0000274081688
-61.4400000000000 -0.0000274081688
-60.1600000000000 -0.0000319818477
-58.8800000000000 -0.0000370793152
-58.8800000000000 -0.0000370793152
-57.6000000000000 -0.0000431227924
-56.3200000000000 -0.0000504435617
-56.3200000000000 -0.0000504435617
