t trk
1.823999999999999844e+01 4.475932602973329861e-04
1.823999999999999844e+01 4.475932602973329861e-04
1.823999999999999844e+01 4.475932602973329861e-04
1.855999999999999872e+01 5.852400797441719869e-04
1.855999999999999872e+01 5.852400797441719869e-04
1.855999999999999872e+01 5.852400797441719869e-04
1.855999999999999872e+01 5.852400797441719869e-04
1.887999999999999901e+01 6.922232367727980396e-04
1.887999999999999901e+01 6.922232367727980396e-04
1.887999999999999901e+01 6.922232367727980396e-04
1.887999999999999901e+01 6.922232367727980396e-04
1.919999999999999929e+01 7.037925392502890213e-04
1.919999999999999929e+01 7.037925392502890213e-04
1.919999999999999929e+01 7.037925392502890213e-04
1.919999999999999929e+01 7.037925392502890213e-04
1.951999999999999957e+01 7.262419826400360462e-04
1.951999999999999957e+01 7.262419826400360462e-04
1.951999999999999957e+01 7.262419826400360462e-04
1.951999999999999957e+01 7.262419826400360462e-04
1.983999999999999986e+01 7.337979374545390262e-04
1.983999999999999986e+01 7.337979374545390262e-04
1.983999999999999986e+01 7.337979374545390262e-04
1.983999999999999986e+01 7.337979374545390262e-04
2.016000000000000014e+01 6.459221345291140315e-04
2.016000000000000014e+01 6.459221345291140315e-04
2.016000000000000014e+01 6.459221345291140315e-04
2.016000000000000014e+01 6.459221345291140315e-04
2.048000000000000043e+01 6.031973293929110370e-04
2.048000000000000043e+01 6.031973293929110370e-04
2.048000000000000043e+01 6.031973293929110370e-04
2.048000000000000043e+01 6.031973293929110370e-04
2.080000000000000071e+01 5.061235348869980080e-04
2.080000000000000071e+01 5.061235348869980080e-04
2.080000000000000071e+01 5.061235348869980080e-04
2.080000000000000071e+01 5.061235348869980080e-04
2.112000000000000099e+01 3.900472215741749974e-04
2.112000000000000099e+01 3.900472215741749974e-04
2.112000000000000099e+01 3.900472215741749974e-04
2.112000000000000099e+01 3.900472215741749974e-04
2.144000000000000128e+01 2.740795513385189909e-04
2.144000000000000128e+01 2.740795513385189909e-04
2.144000000000000128e+01 2.740795513385189909e-04
2.144000000000000128e+01 2.740795513385189909e-04
2.176000000000000156e+01 1.014632733636509980e-04
2.176000000000000156e+01 1.014632733636509980e-04
2.176000000000000156e+01 1.014632733636509980e-04
2.176000000000000156e+01 1.014632733636509980e-04
2.207999999999999829e+01 -6.858413844543230270e-05
2.207999999999999829e+01 -6.858413844543230270e-05
2.207999999999999829e+01 -6.858413844543230270e-05
2.207999999999999829e+01 -6.858413844543230270e-05
2.239999999999999858e+01 -2.103649511255549910e-04
2.239999999999999858e+01 -2.103649511255549910e-04
2.239999999999999858e+01 -2.103649511255549910e-04
2.239999999999999858e+01 -2.103649511255549910e-04
2.271999999999999886e+01 -2.655708372557389891e-04
2.271999999999999886e+01 -2.655708372557389891e-04
2.271999999999999886e+01 -2.655708372557389891e-04
2.271999999999999886e+01 -2.655708372557389891e-04
2.303999999999999915e+01 -2.294980942825979953e-04
2.303999999999999915e+01 -2.294980942825979953e-04
2.303999999999999915e+01 -2.294980942825979953e-04
2.303999999999999915e+01 -2.294980942825979953e-04
2.335999999999999943e+01 -1.793117417880999982e-04
2.335999999999999943e+01 -1.793117417880999982e-04
2.335999999999999943e+01 -1.793117417880999982e-04
2.335999999999999943e+01 -1.793117417880999982e-04
2.367999999999999972e+01 -1.321922565500980033e-04
2.367999999999999972e+01 -1.321922565500980033e-04
2.367999999999999972e+01 -1.321922565500980033e-04
2.367999999999999972e+01 -1.321922565500980033e-04
2.400000000000000000e+01 -6.876571375564590545e-05
2.400000000000000000e+01 -6.876571375564590545e-05
2.400000000000000000e+01 -6.876571375564590545e-05
2.400000000000000000e+01 -6.876571375564590545e-05
2.432000000000000028e+01 8.006998832945460455e-06
2.432000000000000028e+01 8.006998832945460455e-06
2.432000000000000028e+01 8.006998832945460455e-06
2.432000000000000028e+01 8.006998832945460455e-06
2.464000000000000057e+01 8.610769566408560296e-05
2.464000000000000057e+01 8.610769566408560296e-05
2.464000000000000057e+01 8.610769566408560296e-05
2.464000000000000057e+01 8.610769566408560296e-05
2.496000000000000085e+01 1.564108098736959941e-04
2.496000000000000085e+01 1.564108098736959941e-04
2.496000000000000085e+01 1.564108098736959941e-04
2.496000000000000085e+01 1.564108098736959941e-04
2.528000000000000114e+01 2.307133156404560042e-04
2.528000000000000114e+01 2.307133156404560042e-04
2.528000000000000114e+01 2.307133156404560042e-04
2.528000000000000114e+01 2.307133156404560042e-04
2.560000000000000142e+01 2.961698595899800229e-04
2.560000000000000142e+01 2.961698595899800229e-04
2.560000000000000142e+01 2.961698595899800229e-04
2.560000000000000142e+01 2.961698595899800229e-04
2.592000000000000171e+01 3.519469680471079770e-04
2.592000000000000171e+01 3.519469680471079770e-04
2.592000000000000171e+01 3.519469680471079770e-04
2.592000000000000171e+01 3.519469680471079770e-04
2.623999999999999844e+01 4.000232878547959909e-04
2.623999999999999844e+01 4.000232878547959909e-04
2.623999999999999844e+01 4.000232878547959909e-04
2.623999999999999844e+01 4.000232878547959909e-04
2.655999999999999872e+01 4.295685669694519824e-04
2.655999999999999872e+01 4.295685669694519824e-04
2.655999999999999872e+01 4.295685669694519824e-04
2.655999999999999872e+01 4.295685669694519824e-04
2.687999999999999901e+01 4.570181588508129907e-04
2.687999999999999901e+01 4.570181588508129907e-04
2.687999999999999901e+01 4.570181588508129907e-04
2.687999999999999901e+01 4.570181588508129907e-04
2.719999999999999929e+01 5.035985142829520114e-04
2.719999999999999929e+01 5.035985142829520114e-04
2.719999999999999929e+01 5.035985142829520114e-04
2.719999999999999929e+01 5.035985142829520114e-04
2.751999999999999957e+01 5.517788906657669981e-04
2.751999999999999957e+01 5.517788906657669981e-04
2.751999999999999957e+01 5.517788906657669981e-04
2.751999999999999957e+01 5.517788906657669981e-04
2.783999999999999986e+01 5.868766672193320407e-04
2.783999999999999986e+01 5.868766672193320407e-04
2.783999999999999986e+01 5.868766672193320407e-04
2.783999999999999986e+01 5.868766672193320407e-04
2.816000000000000014e+01 6.049691115101260173e-04
2.816000000000000014e+01 6.049691115101260173e-04
2.816000000000000014e+01 6.049691115101260173e-04
2.816000000000000014e+01 6.049691115101260173e-04
2.848000000000000043e+01 5.759238408581320327e-04
2.848000000000000043e+01 5.759238408581320327e-04
2.848000000000000043e+01 5.759238408581320327e-04
2.848000000000000043e+01 5.759238408581320327e-04
2.880000000000000071e+01 4.986615993225540023e-04
2.880000000000000071e+01 4.986615993225540023e-04
2.880000000000000071e+01 4.986615993225540023e-04
2.880000000000000071e+01 4.986615993225540023e-04
2.912000000000000099e+01 3.938127708473409855e-04
2.912000000000000099e+01 3.938127708473409855e-04
2.912000000000000099e+01 3.938127708473409855e-04
2.912000000000000099e+01 3.938127708473409855e-04
2.944000000000000128e+01 2.750839868669760187e-04
2.944000000000000128e+01 2.750839868669760187e-04
2.944000000000000128e+01 2.750839868669760187e-04
2.944000000000000128e+01 2.750839868669760187e-04
2.976000000000000156e+01 1.729726924989450113e-04
2.976000000000000156e+01 1.729726924989450113e-04
2.976000000000000156e+01 1.729726924989450113e-04
2.976000000000000156e+01 1.729726924989450113e-04
3.007999999999999829e+01 1.434393489035199875e-04
3.007999999999999829e+01 1.434393489035199875e-04
3.007999999999999829e+01 1.434393489035199875e-04
3.007999999999999829e+01 1.434393489035199875e-04
3.039999999999999858e+01 2.018887259981030002e-04
3.039999999999999858e+01 2.018887259981030002e-04
3.039999999999999858e+01 2.018887259981030002e-04
3.039999999999999858e+01 2.018887259981030002e-04
3.071999999999999886e+01 3.241359039849159751e-04
3.071999999999999886e+01 3.241359039849159751e-04
3.071999999999999886e+01 3.241359039849159751e-04
