# time mean_radius area m_irreducible areal_radius
1.689600000000000080e+02 1.873157546999999923e+00 1.936946839999999952e+02 1.963016378000000062e+00 3.926032756000000123e+00
1.692800000000000011e+02 1.873392882999999953e+00 1.936842519999999865e+02 1.962963516000000075e+00 3.925927031000000067e+00
1.695999999999999943e+02 1.873657380999999900e+00 1.936747638999999879e+02 1.962915434999999986e+00 3.925830868999999890e+00
1.699199999999999875e+02 1.873952418000000009e+00 1.936663203999999894e+02 1.962872646000000110e+00 3.925745292000000219e+00
1.702400000000000091e+02 1.874282068000000079e+00 1.936592081999999948e+02 1.962836604000000040e+00 3.925673206999999998e+00
1.705600000000000023e+02 1.874643548999999965e+00 1.936532292999999925e+02 1.962806303999999891e+00 3.925612607000000143e+00
1.708799999999999955e+02 1.875037878999999963e+00 1.936484705000000019e+02 1.962782186999999956e+00 3.925564372999999829e+00
1.711999999999999886e+02 1.875463528999999907e+00 1.936448417999999947e+02 1.962763797000000032e+00 3.925527594000000065e+00
1.715200000000000102e+02 1.875921190999999988e+00 1.936424168000000066e+02 1.962751506999999895e+00 3.925503013999999791e+00
1.718400000000000034e+02 1.876409495000000094e+00 1.936411239999999907e+02 1.962744955000000013e+00 3.925489910000000027e+00
1.721599999999999966e+02 1.876930506999999970e+00 1.936411367999999982e+02 1.962745020000000062e+00 3.925490039000000042e+00
1.724799999999999898e+02 1.877485963000000035e+00 1.936426068000000100e+02 1.962752470000000082e+00 3.925504940000000165e+00
1.728000000000000114e+02 1.878073136000000032e+00 1.936453749000000073e+02 1.962766497999999915e+00 3.925532996999999913e+00
1.731200000000000045e+02 1.878691429999999940e+00 1.936494337999999971e+02 1.962787068999999995e+00 3.925574137999999991e+00
1.734399999999999977e+02 1.879338366999999899e+00 1.936546446000000117e+02 1.962813476000000001e+00 3.925626952000000003e+00
1.737599999999999909e+02 1.880013444000000034e+00 1.936610161000000119e+02 1.962845766000000047e+00 3.925691531000000012e+00
1.740800000000000125e+02 1.880716445000000014e+00 1.936685794999999928e+02 1.962884094000000079e+00 3.925768188999999797e+00
1.744000000000000057e+02 1.881444796999999891e+00 1.936772019000000000e+02 1.962927789000000089e+00 3.925855578000000179e+00
1.747199999999999989e+02 1.882198126000000027e+00 1.936869044000000031e+02 1.962976956000000106e+00 3.925953912999999851e+00
1.750399999999999920e+02 1.882976028000000079e+00 1.936977037999999993e+02 1.963031680000000057e+00 3.926063361000000196e+00
1.753600000000000136e+02 1.883776872999999963e+00 1.937095361000000082e+02 1.963091637000000000e+00 3.926183274000000001e+00
1.756800000000000068e+02 1.884599949999999913e+00 1.937224028999999916e+02 1.963156832999999990e+00 3.926313665999999980e+00
