# x phi
-124.1600000000000 -0.0000005031218
-122.8800000000000 -0.0000005426562
-122.8800000000000 -0.0000005426562
-121.6000000000000 -0.0000005850654
-120.3200000000000 -0.0000006307074
-120.3200000000000 -0.0000006307074
-119.0400000000000 -0.0000006801203
-117.7600000000000 -0.0000007336489
-117.7600000000000 -0.0000007336489
-116.4800000000000 -0.0000007914174
-115.2000000000000 -0.0000008536949
-115.2000000000000 -0.0000008536949
-113.9200000000000 -0.0000009210438
-112.6400000000000 -0.0000009940434
-112.6400000000000 -0.0000009940434
-111.3600000000000 -0.0000010730629
-110.0800000000000 -0.0000011584027
-110.0800000000000 -0.0000011584027
-108.8000000000000 -0.0000012505549
-107.5200000000000 -0.0000013502313
-107.5200000000000 -0.0000013502313
-106.2400000000000 -0.0000014581589
-104.9600000000000 -0.0000015749605
-104.9600000000000 -0.0000015749605
-103.6800000000000 -0.0000017013000
-102.4000000000000 -0.0000018380348
-102.4000000000000 -0.0000018380348
-101.1200000000000 -0.0000019861187
-99.8400000000000 -0.0000021464807
-99.8400000000000 -0.0000021464807
-98.5600000000000 -0.0000023201574
-97.2800000000000 -0.0000025087257
-97.2800000000000 -0.0000025087257
-96.0000000000000 -0.0000027151389
-94.7200000000000 -0.0000029449339
-94.7200000000000 -0.0000029449339
-93.4400000000000 -0.0000032074506
-92.1600000000000 -0.0000035168583
-92.1600000000000 -0.0000035168583
-90.8800000000000 -0.0000038926752
-89.6000000000000 -0.0000043586477
-89.6000000000000 -0.0000043586477
-88.3200000000000 -0.0000049392586
-87.0400000000000 -0.0000056551606
-87.0400000000000 -0.0000056551606
-85.7600000000000 -0.0000065194921
-84.4800000000000 -0.0000075354874
-84.4800000000000 -0.0000075354874
-83.2000000000000 -0.0000086950099
-81.9200000000000 -0.0000099783831
-81.9200000000000 -0.0000099783831
-80.6400000000000 -0.0000113558954
-79.3600000000000 -0.0000127907034
-79.3600000000000 -0.0000127907034
-78.0800000000000 -0.0000142432089
-76.8000000000000 -0.0000156771087
-76.8000000000000 -0.0000156771087
-75.5200000000000 -0.0000170656618
-74.2400000000000 -0.0000183957439
-74.2400000000000 -0.0000183957439
-72.9600000000000 -0.0000196690578
-71.6800000000000 -0.0000209013788
-71.6800000000000 -0.0000209013788
-70.4000000000000 -0.0000221195415
-69.1200000000000 -0.0000233557476
-69.1200000000000 -0.0000233557476
-67.8400000000000 -0.0000246415994
-66.5600000000000 -0.0000260046129
-66.5600000000000 -0.0000260046129
-65.2800000000000 -0.0000274662781
-64.0000000000000 -0.0000290400075
-64.0000000000000 -0.0000290400075
-62.7200000000000 -0.0000307307352
-61.4400000000000 -0.0000325381911
-61.4400000000000 -0.0000325381911
-60.1600000000001 -0.0000344622959
-58.8800000000001 -0.0000365073062
-58.8800000000000 -0.0000365073062
-57.6000000000001 -0.0000386815447
-56.3200000000001 -0.0000409921310
-56.3200000000000 -0.0000409921310
-55.0400000000000 -0.0000434415005
-53.7600000000000 -0.0000460338605
-53.7600000000000 -0.0000460338605
-52.4800000000000 -0.0000487839880
-51.2000000000000 -0.0000517114545
-51.2000000000000 -0.0000517114545
-49.9200000000000 -0.0000548272748
-48.6400000000000 -0.0000581375798
-48.6400000000000 -0.0000581375798
-47.3600000000000 -0.0000616561951
-46.0800000000000 -0.0000654000759
-46.0800000000000 -0.0000654000759
-44.8000000000000 -0.0000693814446
-43.5200000000000 -0.0000736108085
-43.5200000000000 -0.0000736108085
-42.2400000000000 -0.0000780941442
-40.9600000000000 -0.0000828349512
-40.9600000000000 -0.0000828349512
-39.6800000000000 -0.0000878414809
-38.4000000000000 -0.0000931190980
-38.4000000000000 -0.0000931190980
-37.7600000000000 -0.0000958611596
-37.1200000000000 -0.0000986725343
