t re(Psi4_2_0) im(Psi4_2_0)  
9.759999999999999787e+00 6.228574364061026817e-12 1.787153305127394054e-17
9.919999999999999929e+00 6.212213761601748895e-12 1.588515814414997197e-17
1.008000000000000007e+01 6.206495708996005378e-12 1.380867080660434407e-17
1.024000000000000021e+01 6.211420206243671059e-12 1.164207103862062325e-17
1.040000000000000036e+01 6.219993888713580444e-12 9.624356818832887321e-18
1.056000000000000050e+01 6.236412775184530410e-12 7.612129360056066137e-18
1.072000000000000064e+01 6.260676865656437755e-12 5.605388662307294310e-18
1.088000000000000078e+01 6.292786160129352562e-12 3.604134725574307518e-18
1.103999999999999915e+01 6.319454174170905406e-12 2.135470403458651290e-18
1.119999999999999929e+01 6.348652798440441847e-12 8.831339837928021537e-19
1.135999999999999943e+01 6.380382032938143639e-12 -1.528745334063242327e-19
1.151999999999999957e+01 6.414641877663884767e-12 -9.725551481564707633e-19
1.167999999999999972e+01 6.441193745091514370e-12 -2.018709985369975956e-18
1.183999999999999986e+01 6.466180787737048506e-12 -3.025657770126228524e-18
1.200000000000000000e+01 6.489603005600027539e-12 -3.993398502352332211e-18
1.216000000000000014e+01 6.511460398680800437e-12 -4.921932182235096444e-18
1.232000000000000028e+01 6.526573776750022851e-12 -5.465660946110312231e-18
1.248000000000000043e+01 6.538050653945268594e-12 -5.831943512273216695e-18
1.264000000000000057e+01 6.545891030266405995e-12 -6.020779880481364530e-18
1.280000000000000071e+01 6.550094905713620848e-12 -6.032170050952687805e-18
1.296000000000000085e+01 6.550735927791928523e-12 -5.747194915337310510e-18
1.311999999999999922e+01 6.547769907998190713e-12 -5.237205938537644676e-18
1.327999999999999936e+01 6.541196846332524548e-12 -4.502203120564161970e-18
1.343999999999999950e+01 6.531016742794934874e-12 -3.542186461379508593e-18
1.359999999999999964e+01 6.522469771331781590e-12 -2.431888644616518720e-18
1.375999999999999979e+01 6.512411827575077021e-12 -1.126470060089995087e-18
1.391999999999999993e+01 6.500842911525179018e-12 3.740692921552668585e-19
1.408000000000000007e+01 6.487763023181747501e-12 2.069729412171304156e-18
1.424000000000000021e+01 6.480037464852564743e-12 3.653534976972545924e-18
1.440000000000000036e+01 6.473547055153151373e-12 5.309671180332013512e-18
1.456000000000000050e+01 6.468291794083433075e-12 7.038138022233592664e-18
1.472000000000000064e+01 6.464271681643350878e-12 8.838935502645921538e-18
1.488000000000000078e+01 6.463867229324384744e-12 1.089494242606899649e-17
1.503999999999999915e+01 6.465650130231585464e-12 1.309643150980996137e-17
1.519999999999999929e+01 6.469620384365118637e-12 1.544340275384565416e-17
1.535999999999999943e+01 6.475777991724898637e-12 1.793585615822135734e-17
1.551999999999999957e+01 6.480195628954909334e-12 1.954300530967661495e-17
1.567999999999999972e+01 6.485229690068840538e-12 2.088332205616235635e-17
1.583999999999999986e+01 6.490880175066637320e-12 2.195680639767901293e-17
1.600000000000000000e+01 6.497147083948285139e-12 2.276345833423952694e-17
1.616000000000000014e+01 6.499757550885487115e-12 2.330368309840928021e-17
1.632000000000000028e+01 6.501275295375279698e-12 2.357723755071199166e-17
1.648000000000000043e+01 6.501700317417499715e-12 2.358412169104535589e-17
1.664000000000000057e+01 6.501032617012265103e-12 2.332433551950816541e-17
1.680000000000000071e+01 6.501560063085767114e-12 2.317209817448624038e-17
1.696000000000000085e+01 6.501909934282201656e-12 2.290287817294068820e-17
1.712000000000000099e+01 6.502082230601658394e-12 2.251667551487842374e-17
1.728000000000000114e+01 6.502076952044000810e-12 2.201349020030447905e-17
1.744000000000000128e+01 6.508689140453251390e-12 2.115105652145101882e-17
1.760000000000000142e+01 6.517841770723025725e-12 2.007473390296064726e-17
1.776000000000000156e+01 6.529534842853348046e-12 1.878452234487651447e-17
1.792000000000000171e+01 6.543768356844167464e-12 1.728042184713007889e-17
1.807999999999999829e+01 6.561434231718268299e-12 1.589862691443934215e-17
1.823999999999999844e+01 6.581997316061991268e-12 1.443742084404000239e-17
1.839999999999999858e+01 6.605457609875390493e-12 1.289680363584867764e-17
1.855999999999999872e+01 6.631815113158443355e-12 1.127677528981478528e-17
1.871999999999999886e+01 6.650053913407586121e-12 9.765346923340825415e-18
1.887999999999999901e+01 6.666783558125000169e-12 8.249711865983226910e-18
1.903999999999999915e+01 6.682004047310636221e-12 6.729870117605852713e-18
1.919999999999999929e+01 6.695715380964575057e-12 5.205821678420227709e-18
1.935999999999999943e+01 6.693537452240555927e-12 3.952700181614806034e-18
1.951999999999999957e+01 6.684098325246460651e-12 2.805425447271622265e-18
1.967999999999999972e+01 6.667397999982134939e-12 1.763997475219387661e-18
1.983999999999999986e+01 6.643436476447682998e-12 8.284162656528389682e-19
2.000000000000000000e+01 6.610950607253914903e-12 4.187298975783097804e-19
2.016000000000000014e+01 6.570698280834431690e-12 2.829095234798045074e-19
2.032000000000000028e+01 6.522679497189188120e-12 4.209551436147760716e-19
2.048000000000000043e+01 6.466894256318046871e-12 8.328667575778744789e-19
2.064000000000000057e+01 6.421174843247784603e-12 1.573112908892458928e-18
2.080000000000000071e+01 6.374821886962462628e-12 2.609012471530248945e-18
2.096000000000000085e+01 6.327835387461901616e-12 3.940565445706676259e-18
2.112000000000000099e+01 6.280215344746321286e-12 5.567771831223017834e-18
2.128000000000000114e+01 6.254757164191749420e-12 7.186202850449966351e-18
2.144000000000000128e+01 6.237783602572654652e-12 8.978515770439577148e-18
2.160000000000000142e+01 6.229294659888831803e-12 1.094471059051444751e-17
2.176000000000000156e+01 6.229290336140407695e-12 1.308478731151012750e-17
2.192000000000000171e+01 6.243587848042047361e-12 1.534836061350368205e-17
2.207999999999999829e+01 6.268696865564847899e-12 1.776566168838797493e-17
2.223999999999999844e+01 6.304617388708949866e-12 2.033669053621278601e-17
2.239999999999999858e+01 6.351349417474238554e-12 2.306144715642725621e-17
2.255999999999999872e+01 6.390961379139453365e-12 2.549325449353625365e-17
2.271999999999999886e+01 6.434212217337411565e-12 2.790011878080823353e-17
2.287999999999999901e+01 6.481101932068035606e-12 3.028204001870614008e-17
2.303999999999999915e+01 6.531630523331473315e-12 3.263901820703444366e-17
2.319999999999999929e+01 6.561189172185495513e-12 3.463063766791748450e-17
2.335999999999999943e+01 6.584543169995383161e-12 3.646114780738817665e-17
2.351999999999999957e+01 6.601692516761104756e-12 3.813054862629914930e-17
2.367999999999999972e+01 6.612637212482706341e-12 3.963884012454985353e-17
2.383999999999999986e+01 6.610294682217577330e-12 4.053255888531298217e-17
2.400000000000000000e+01 6.598914470931221713e-12 4.108378295893823138e-17
2.416000000000000014e+01 6.578496578623683112e-12 4.129251234536817455e-17
2.432000000000000028e+01 6.549041005294923559e-12 4.115874704490233230e-17
