t re(Psi4_2_0) im(Psi4_2_0)  
1.408000000000000007e+01 2.065892837423544982e-12 9.272296049500266823e-18
1.424000000000000021e+01 2.169916450144809596e-12 9.325764807068798631e-18
1.440000000000000036e+01 2.412179955437400568e-12 8.656688379024508364e-18
1.456000000000000050e+01 2.697623691327327615e-12 8.019695634047579566e-18
1.472000000000000064e+01 2.764602750498158746e-12 8.982232443319706264e-18
1.488000000000000078e+01 3.024764753373017611e-12 8.470327398990311521e-18
1.503999999999999915e+01 3.352604971757777253e-12 7.522685681875561949e-18
1.519999999999999929e+01 3.729974838108783196e-12 6.771282331944071432e-18
1.535999999999999943e+01 4.352777805748901925e-12 6.126488253298326499e-18
1.551999999999999957e+01 4.651594010353469812e-12 6.420929487339568733e-18
1.567999999999999972e+01 4.835752840625637543e-12 7.298902275494312541e-18
1.583999999999999986e+01 5.043916497741003047e-12 7.899593059806476762e-18
1.600000000000000000e+01 5.666923317253471487e-12 7.610104813114520443e-18
1.616000000000000014e+01 5.833328599786298762e-12 7.563493120786961544e-18
1.632000000000000028e+01 5.842116632675639752e-12 7.381789791546557000e-18
1.648000000000000043e+01 5.723917328791468146e-12 6.788891911491647044e-18
1.664000000000000057e+01 5.387479178665416533e-12 6.289199901298222370e-18
1.680000000000000071e+01 5.127074572712733019e-12 4.985739976631303871e-18
1.696000000000000085e+01 4.831998902590541241e-12 3.133789040364151506e-18
1.712000000000000099e+01 4.392111986605737270e-12 8.431313313603453583e-19
1.728000000000000114e+01 3.490739817835778241e-12 -2.080772406033025670e-18
1.744000000000000128e+01 2.958631729135980684e-12 -3.723666238554611628e-18
1.760000000000000142e+01 2.493784001057044925e-12 -4.711360121347628549e-18
1.776000000000000156e+01 2.154543873932570313e-12 -5.337695412527269838e-18
1.792000000000000171e+01 2.030284839004125025e-12 -5.679122962742773929e-18
1.807999999999999829e+01 1.923482517979697989e-12 -5.682038030055416580e-18
1.823999999999999844e+01 1.883446075692987293e-12 -5.377850273665343094e-18
1.839999999999999858e+01 2.014211022019675466e-12 -4.293208041986689068e-18
1.855999999999999872e+01 2.562456111934742560e-12 -1.215875452526987088e-18
1.871999999999999886e+01 2.900968599833326647e-12 5.145891922356993986e-19
1.887999999999999901e+01 3.246386032601716715e-12 2.026922035751378854e-18
1.903999999999999915e+01 3.581122527591908891e-12 2.591903123299835912e-18
1.919999999999999929e+01 3.701098126167925488e-12 3.318061711235034883e-18
1.935999999999999943e+01 3.991742774165406366e-12 3.202144646464134538e-18
1.951999999999999957e+01 4.352386732732731070e-12 2.587521964805504532e-18
1.967999999999999972e+01 4.761047864435047853e-12 1.975481533934464403e-18
1.983999999999999986e+01 4.845767955873905140e-12 1.074451461463870461e-18
2.000000000000000000e+01 5.177764485624586982e-12 2.441193294424132073e-19
2.016000000000000014e+01 5.593860135475546774e-12 -6.705211331409033764e-19
2.032000000000000028e+01 6.002937819684983914e-12 -1.073804119530857896e-18
2.048000000000000043e+01 6.498210893513443254e-12 -1.878189089235328652e-18
2.064000000000000057e+01 6.690094657354220165e-12 -1.765499524522118160e-18
2.080000000000000071e+01 6.714095275089681985e-12 -1.169948431245017281e-18
2.096000000000000085e+01 6.547088466244703225e-12 -4.630519226319014594e-19
2.112000000000000099e+01 6.578278044081076211e-12 -6.737387342141819495e-20
2.128000000000000114e+01 6.181647751971073185e-12 1.199958135148264521e-18
2.144000000000000128e+01 5.545447012848426665e-12 3.004138112563205826e-18
2.160000000000000142e+01 4.904977160485300589e-12 4.474976489295614719e-18
2.176000000000000156e+01 4.435007573828263842e-12 6.171737016023527314e-18
2.192000000000000171e+01 3.968208452093384937e-12 7.174408560674619287e-18
2.207999999999999829e+01 3.529027761149524535e-12 7.820575135513131392e-18
2.223999999999999844e+01 3.219210596484434651e-12 8.313362948378649850e-18
2.239999999999999858e+01 2.783664753687304791e-12 9.462703754463688369e-18
2.255999999999999872e+01 2.701041568736514560e-12 9.528943746203770234e-18
2.271999999999999886e+01 2.792311677594321534e-12 9.086518952746584779e-18
2.287999999999999901e+01 2.881801676418436083e-12 8.430800078514898962e-18
2.303999999999999915e+01 2.485636499160404709e-12 7.949028239282902741e-18
2.319999999999999929e+01 2.519482012660238006e-12 7.196202665104427277e-18
2.335999999999999943e+01 2.683690144087146509e-12 6.259658318731977590e-18
2.351999999999999957e+01 2.915930598169803137e-12 5.055865368109828422e-18
2.367999999999999972e+01 3.162847298663474498e-12 2.878222415265978833e-18
2.383999999999999986e+01 3.399516015883180175e-12 2.340724135189016202e-18
2.400000000000000000e+01 3.659177014098397748e-12 2.517583208897070142e-18
2.416000000000000014e+01 4.006894481951554643e-12 3.192758809602326165e-18
2.432000000000000028e+01 4.873626410123465726e-12 3.124521959012554080e-18
2.448000000000000043e+01 5.277433686460359752e-12 4.108053207385386293e-18
2.464000000000000057e+01 5.570367508513747966e-12 5.545447807013100733e-18
2.480000000000000071e+01 5.776053028145573535e-12 7.229169400855958624e-18
2.496000000000000085e+01 5.981663156383302281e-12 9.623630316988694913e-18
2.512000000000000099e+01 6.083415563557129760e-12 1.098057224757770554e-17
2.528000000000000114e+01 6.122579424265009657e-12 1.190417964678590182e-17
2.544000000000000128e+01 6.073690974857557216e-12 1.248295610646211057e-17
2.560000000000000142e+01 5.712767156109073017e-12 1.287533061670816616e-17
2.576000000000000156e+01 5.529645434222204898e-12 1.343686057666146555e-17
2.592000000000000171e+01 5.347499683204061930e-12 1.415729028063387704e-17
2.607999999999999829e+01 5.118419713232433041e-12 1.479728458503485422e-17
2.623999999999999844e+01 4.942324796209699936e-12 1.482304953988918473e-17
2.639999999999999858e+01 4.662407128950962036e-12 1.478540767741087955e-17
2.655999999999999872e+01 4.311588591954923160e-12 1.455753667822876301e-17
2.671999999999999886e+01 3.957729248222684830e-12 1.462342818289205501e-17
2.687999999999999901e+01 3.647269384444622734e-12 1.556361723688471964e-17
2.703999999999999915e+01 3.377139717436146307e-12 1.507577436311822589e-17
2.719999999999999929e+01 3.140753681243267269e-12 1.388046005967224042e-17
2.735999999999999943e+01 3.006122025839970485e-12 1.221232121844500001e-17
2.751999999999999957e+01 2.677898002200983607e-12 1.006107996079911971e-17
2.767999999999999972e+01 2.629837136168174988e-12 9.076805300107851758e-18
2.783999999999999986e+01 2.712621159063092092e-12 8.688318882096413259e-18
