# x phi
-139.5200000000000 -0.0000002060024
-138.2400000000000 -0.0000002218050
-138.2400000000000 -0.0000002218050
-136.9600000000000 -0.0000002393110
-135.6800000000000 -0.0000002580427
-135.6800000000000 -0.0000002580427
-134.4000000000000 -0.0000002774321
-133.1200000000000 -0.0000002981613
-133.1200000000000 -0.0000002981613
-131.8400000000000 -0.0000003205241
-130.5600000000000 -0.0000003451175
-130.5600000000000 -0.0000003451175
-129.2800000000000 -0.0000003730789
-128.0000000000000 -0.0000004030813
-128.0000000000000 -0.0000004030813
-126.7200000000000 -0.0000004339282
-125.4400000000000 -0.0000004663662
-125.4400000000000 -0.0000004663662
-124.1600000000000 -0.0000005022410
-122.8800000000000 -0.0000005423929
-122.8800000000000 -0.0000005423929
-121.6000000000000 -0.0000005856405
-120.3200000000000 -0.0000006307682
-120.3200000000000 -0.0000006307682
-119.0400000000000 -0.0000006786283
-117.7600000000000 -0.0000007317561
-117.7600000000000 -0.0000007317561
-116.4800000000000 -0.0000007910561
-115.2000000000000 -0.0000008545899
-115.2000000000000 -0.0000008545899
-113.9200000000000 -0.0000009212813
-112.6400000000000 -0.0000009930739
-112.6400000000000 -0.0000009930739
-111.3600000000000 -0.0000010719144
-110.0800000000000 -0.0000011575029
-110.0800000000000 -0.0000011575029
-108.8000000000000 -0.0000012491261
-107.5200000000000 -0.0000013485171
-107.5200000000000 -0.0000013485171
-106.2400000000000 -0.0000014575705
-104.9600000000000 -0.0000015751288
-104.9600000000000 -0.0000015751288
-103.6800000000000 -0.0000017004412
-102.4000000000000 -0.0000018366137
-102.4000000000000 -0.0000018366137
-101.1200000000000 -0.0000019856300
-99.8400000000000 -0.0000021460027
-99.8400000000000 -0.0000021460027
-98.5600000000000 -0.0000023193131
-97.2800000000000 -0.0000025087477
-97.2800000000000 -0.0000025087477
-96.0000000000000 -0.0000027131583
-94.7200000000000 -0.0000029328891
-94.7200000000000 -0.0000029328891
-93.4400000000000 -0.0000031728897
-92.1600000000000 -0.0000034350080
-92.1600000000000 -0.0000034350080
-90.8800000000000 -0.0000037193505
-89.6000000000000 -0.0000040274509
-89.6000000000000 -0.0000040274509
-88.3200000000000 -0.0000043592997
-87.0400000000000 -0.0000047187598
-87.0400000000000 -0.0000047187598
-85.7600000000000 -0.0000051124700
-84.4800000000000 -0.0000055412304
-84.4800000000000 -0.0000055412304
-83.2000000000000 -0.0000060053781
-81.9200000000000 -0.0000065085932
-81.9200000000000 -0.0000065085932
-80.6400000000000 -0.0000070566588
-79.3600000000000 -0.0000076566153
-79.3600000000000 -0.0000076566153
-78.0800000000000 -0.0000083090587
-76.8000000000000 -0.0000090157634
-76.8000000000000 -0.0000090157634
-75.5200000000000 -0.0000097865937
-74.2400000000000 -0.0000106298359
-74.2400000000000 -0.0000106298359
-72.9600000000000 -0.0000115484147
